==============================================================
  EML-SR Fable: General (non-Feynman) benchmark  [v3]
  20 synthetic equations, holdout 250 points
==============================================================
[01/20] poly3        (polynomial) status=ok      test_rmse=1.338e-14 t=0.0s
[02/20] poly_cross   (polynomial) status=ok      test_rmse=2.053e-16 t=0.0s
[03/20] nguyen5      (trig-comp ) status=ok      test_rmse=3.846e-17 t=3.8s
[04/20] nguyen6      (trig-comp ) status=failed  test_rmse=9.686e-02 t=5.1s
[05/20] nguyen7      (log       ) status=ok      test_rmse=7.273e-06 t=10.1s
[06/20] rational1    (rational  ) status=ok      test_rmse=4.487e-15 t=0.3s
[07/20] rational2    (rational  ) status=ok      test_rmse=6.114e-16 t=0.1s
[08/20] rational3    (rational  ) status=ok      test_rmse=2.041e-15 t=0.5s
[09/20] shifted_inv  (rational  ) status=ok      test_rmse=1.362e-14 t=0.1s
[10/20] logistic1    (logistic  ) status=ok      test_rmse=9.919e-17 t=0.1s
[11/20] logistic2    (logistic  ) status=ok      test_rmse=5.205e-16 t=0.2s
[12/20] tanh_sum     (logistic  ) status=ok      test_rmse=9.928e-17 t=0.4s
